  %STRAIN  PHFRAC   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   TWFR4   TWFR5
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.002   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.003   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.004   0.000   1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.005   0.000   1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.006   0.000   1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.007   0.000   1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.008   0.000   1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.009   0.000   1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.010   0.000   1.006   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.011   0.000   1.006   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.012   0.000   1.007   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.013   0.000   1.006   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.014   0.001   1.006   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.015   0.001   1.006   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.016   0.001   1.006   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.017   0.001   1.006   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.018   0.001   1.006   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.019   0.001   1.029   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.020   0.001   1.028   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.021   0.001   1.028   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.022   0.001   1.028   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.023   0.002   1.028   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.024   0.002   1.027   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.025   0.002   1.026   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.026   0.003   1.025   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.027   0.003   1.025   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.028   0.003   1.029   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.029   0.003   1.032   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.030   0.003   1.029   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.031   0.003   1.028   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.032   0.004   1.027   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.033   0.004   1.026   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.034   0.004   1.026   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.035   0.005   1.031   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.036   0.005   1.030   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.037   0.006   1.026   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.038   0.006   1.027   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.039   0.006   1.027   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.040   0.007   1.028   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.041   0.007   1.028   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.042   0.008   1.029   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.043   0.008   1.030   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.044   0.009   1.031   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.045   0.009   1.032   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.046   0.009   1.032   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.047   0.010   1.034   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.048   0.010   1.039   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.049   0.010   1.040   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.050   0.011   1.040   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.051   0.011   1.038   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.052   0.012   1.034   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.053   0.012   1.030   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.054   0.013   1.030   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.055   0.013   1.030   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.056   0.014   1.039   0.000   0.000   0.000   0.000   0.000   0.000   0.000
